ds,ward_id,y
2024-07-03,1,37
2024-07-10,1,39
2024-07-17,1,28
2024-07-24,1,41
2024-07-31,1,42
2024-08-07,1,42
2024-08-14,1,40
2024-08-21,1,36
2024-08-28,1,32
2024-09-04,1,16
2024-09-11,1,15
2024-09-18,1,17
2024-09-25,1,17
2024-10-02,1,14
2024-10-09,1,15
2024-10-16,1,17
2024-10-23,1,15
2024-10-30,1,12
2024-11-06,1,14
2024-11-13,1,14
2024-11-20,1,18
2024-11-27,1,19
2024-12-04,1,17
2024-12-11,1,19
2024-12-18,1,21
2024-12-25,1,9
2025-01-01,1,24
2025-01-08,1,22
2025-01-15,1,21
2025-01-22,1,18
2025-01-29,1,21
2025-02-05,1,14
2025-02-12,1,15
2025-02-19,1,16
2025-02-26,1,17
2025-03-05,1,15
2025-03-12,1,17
2025-03-19,1,21
2025-03-26,1,20
2025-04-02,1,12
2025-04-09,1,15
2025-04-16,1,16
2025-04-23,1,16
2025-04-30,1,10
2025-05-07,1,12
2025-05-14,1,15
2025-05-21,1,18
2025-05-28,1,15
2025-06-04,1,34
2025-06-11,1,40
2025-06-18,1,42
2025-06-25,1,28
2025-07-02,1,39
2025-07-09,1,46
2025-07-16,1,44
2025-07-23,1,49
2025-07-30,1,51
2025-08-06,1,48
2025-08-13,1,40
2025-08-20,1,41
2025-08-27,1,40
2025-09-03,1,18
2025-09-10,1,21
2025-09-17,1,15
2025-09-24,1,15
2025-10-01,1,23
2025-10-08,1,17
2025-10-15,1,15
2025-10-22,1,16
2025-10-29,1,19
2025-11-05,1,17
2025-11-12,1,12
2025-11-19,1,18
2025-11-26,1,17
2025-12-03,1,29
2025-12-10,1,21
2025-12-17,1,23
2025-12-24,1,19
2025-12-31,1,20
2026-01-07,1,28
2026-01-14,1,21
2026-01-21,1,22
2026-01-28,1,20
2026-02-04,1,16
2026-02-11,1,15
2026-02-18,1,24
2026-02-25,1,19
2026-03-04,1,19
2026-03-11,1,13
2026-03-18,1,14
2026-03-25,1,16
2026-04-01,1,20
2026-04-08,1,16
2026-04-15,1,22
2026-04-22,1,18
2026-04-29,1,18
